timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,voltages,plot_file
2025-03-12 01:53:23,uf20-0789.cnf,90,91,False,"{""x1"": 5.409901119970578, ""x2"": 3.0829360414526312, ""x3"": -0.8698199263977444, ""x4"": -1.223143719843329, ""x5"": -6.722609056952819, ""x6"": -0.7949459460117166, ""x7"": 6.7492804700330975, ""x8"": -4.7614460958512455, ""x9"": 7.313436022443049, ""x10"": 2.97617186777947, ""x11"": 6.9775091234846895, ""x12"": 1.723680119100847, ""x13"": -3.124790775744714, ""x14"": 6.341198097440997, ""x15"": 2.543913592019632, ""x16"": 5.6712341791216465, ""x17"": 0.5640834436238981, ""x18"": -1.155715450631963, ""x19"": 5.7310216891128505, ""x20"": 1.8339140923679766}",graphs/uf20-0789.png
2025-03-12 01:53:31,uf20-0790.cnf,89,91,False,"{""x1"": 0.6388381740955021, ""x2"": 2.8409239640831623, ""x3"": 2.4857684463616594, ""x4"": 1.8342166177608683, ""x5"": 0.7503625425581408, ""x6"": -3.441474569617836, ""x7"": 2.371696695572228, ""x8"": 5.646519982086127, ""x9"": 3.601198764792757, ""x10"": 1.8203817825778457, ""x11"": -1.8300329259254393, ""x12"": -3.1244937265261172, ""x13"": 2.7609380900965115, ""x14"": 0.6199220161876485, ""x15"": -7.521233540442194, ""x16"": -0.65378485351577, ""x17"": -0.8709738313703321, ""x18"": -0.976473365718902, ""x19"": 3.117406685893769, ""x20"": 3.9033580453861205}",graphs/uf20-0790.png
2025-03-12 01:53:39,uf20-0791.cnf,87,91,False,"{""x1"": -0.4337280046390722, ""x2"": 0.3246996864466138, ""x3"": -0.77655771389197, ""x4"": 5.688991406195103, ""x5"": -0.4309504559732338, ""x6"": 0.3040296687742469, ""x7"": 0.42070054717837446, ""x8"": -0.8892670301418778, ""x9"": 1.5051219219543952, ""x10"": 2.5465329529537915, ""x11"": -1.460166183664163, ""x12"": 3.4185327289823664, ""x13"": 3.3110839461987456, ""x14"": 0.35433454811881504, ""x15"": 6.056349094221428, ""x16"": 2.7429572248047016, ""x17"": 0.9088844616573626, ""x18"": 4.183524578933761, ""x19"": 0.4130506231476052, ""x20"": 3.0349163307203693}",graphs/uf20-0791.png
2025-03-12 01:53:48,uf20-0792.cnf,91,91,True,"{""x1"": -3.3458541262712496, ""x2"": 4.0410452520644675, ""x3"": -5.470777246685254, ""x4"": 5.613802959030385, ""x5"": -4.721693820770867, ""x6"": -3.362215193783958, ""x7"": 1.1699678415909442, ""x8"": 2.5496675956625867, ""x9"": 2.5671816851148126, ""x10"": -3.1773219090800238, ""x11"": -2.610540523701137, ""x12"": -3.678509020329925, ""x13"": 0.37631344049228577, ""x14"": -3.1244504593738918, ""x15"": 6.526126860563688, ""x16"": 2.3945738759197583, ""x17"": 0.17263423555941265, ""x18"": -0.9143838474533921, ""x19"": 0.9196717798917033, ""x20"": -3.664223980604818}",graphs/uf20-0792.png
2025-03-12 01:53:55,uf20-0793.cnf,91,91,True,"{""x1"": -0.5476555330825595, ""x2"": 6.350072808401052, ""x3"": 5.491256770105106, ""x4"": -0.07538665810441743, ""x5"": 6.208623193150783, ""x6"": -6.7699230686096605, ""x7"": -3.276527455556441, ""x8"": 4.332010168314027, ""x9"": 6.770430439132858, ""x10"": 1.6243511854951571, ""x11"": 2.1273989103158892, ""x12"": -1.7925363744920357, ""x13"": 0.5254897522282387, ""x14"": -2.395829111306868, ""x15"": 4.435166925044504, ""x16"": -0.8315906116169238, ""x17"": 5.607777361389348, ""x18"": -2.770398475233051, ""x19"": -7.242186061048188, ""x20"": -0.7115675728787572}",graphs/uf20-0793.png
2025-03-12 01:54:04,uf20-0794.cnf,91,91,True,"{""x1"": 6.951745858951021, ""x2"": -1.74910115000901, ""x3"": 3.020137948289543, ""x4"": 3.1237342597856443, ""x5"": 3.3949488513345183, ""x6"": -3.44873601426862, ""x7"": -1.0594485795523507, ""x8"": 5.9733076506828, ""x9"": 2.078704783553639, ""x10"": 2.222826666850667, ""x11"": 3.5283418501903894, ""x12"": 0.4906385746296263, ""x13"": -5.025169701590169, ""x14"": 2.5149642313708127, ""x15"": -4.871607306688558, ""x16"": 4.484595932589262, ""x17"": -7.233664772995591, ""x18"": 2.1812382005157507, ""x19"": -7.310526385193438, ""x20"": -4.143180749197314}",graphs/uf20-0794.png
2025-03-12 01:54:12,uf20-0795.cnf,91,91,True,"{""x1"": -1.630196740972672, ""x2"": 0.8047162735090082, ""x3"": 2.6241964086794387, ""x4"": -3.923790096592019, ""x5"": 5.491825773331705, ""x6"": 6.100535589542799, ""x7"": 1.5227003740993317, ""x8"": 4.160012808232709, ""x9"": 1.4492614391024041, ""x10"": 1.7211943741102682, ""x11"": 2.5004055319768512, ""x12"": 2.8758209248501743, ""x13"": -5.589637603849117, ""x14"": -5.7167267440617975, ""x15"": 3.0733300487704396, ""x16"": -1.4767494793556633, ""x17"": -1.5369713162837204, ""x18"": 1.4367343200069886, ""x19"": -8.508793184832356, ""x20"": -6.7561460065085095}",graphs/uf20-0795.png
2025-03-12 01:54:20,uf20-0796.cnf,91,91,True,"{""x1"": -3.3444748543816387, ""x2"": -3.1963564003634595, ""x3"": 2.8386026622822857, ""x4"": -3.446996937264353, ""x5"": 2.3553900728193744, ""x6"": 4.469893787363633, ""x7"": -2.69752690687058, ""x8"": 2.2838076973548205, ""x9"": -1.4248772723077368, ""x10"": -1.5243359584576843, ""x11"": -1.0761362778429882, ""x12"": 8.43755869553591, ""x13"": -4.53450395754593, ""x14"": -11.491820828544263, ""x15"": -5.082691442876361, ""x16"": -9.00102776627609, ""x17"": 3.76809864994127, ""x18"": 2.586021187219518, ""x19"": 3.9464095335760607, ""x20"": 2.4640767117663023}",graphs/uf20-0796.png
2025-03-12 01:54:28,uf20-0797.cnf,90,91,False,"{""x1"": 2.0393108725793057, ""x2"": 6.16324431452592, ""x3"": 0.5869150179210966, ""x4"": -0.4750583839157998, ""x5"": -1.1943202623645368, ""x6"": -3.916181701993212, ""x7"": 2.6527594394914735, ""x8"": 3.068117476600662, ""x9"": -1.322665678538114, ""x10"": -0.8156670497030646, ""x11"": 0.6775822228710827, ""x12"": -3.014163234337553, ""x13"": -3.9096179870032173, ""x14"": 7.91890606301538, ""x15"": 6.519053467541892, ""x16"": 0.4121073171086569, ""x17"": 4.831525749304603, ""x18"": -0.08159786643403882, ""x19"": -2.150462807502539, ""x20"": -2.4644646431297854}",graphs/uf20-0797.png
2025-03-12 01:54:36,uf20-0798.cnf,91,91,True,"{""x1"": 5.455818289017051, ""x2"": 2.9192946633066863, ""x3"": 2.9030716235190184, ""x4"": 7.637756437821018, ""x5"": 0.6396374693337684, ""x6"": -2.9538158729357162, ""x7"": 4.581404585987778, ""x8"": -3.0882653579055246, ""x9"": -6.912904924941421, ""x10"": -1.4865148623873627, ""x11"": 5.151967933041362, ""x12"": -2.8353674120103705, ""x13"": 4.02298130700403, ""x14"": 3.999302583373249, ""x15"": 2.405058163086678, ""x16"": 8.533831923048243, ""x17"": 4.318043514971919, ""x18"": 3.7251136923021306, ""x19"": -1.2798012265324807, ""x20"": 6.458313434190325}",graphs/uf20-0798.png
2025-03-12 01:54:45,uf20-0799.cnf,90,91,False,"{""x1"": 4.68794569219354, ""x2"": -1.9729072346932033, ""x3"": 1.919129400993093, ""x4"": -7.397937998005132, ""x5"": 1.3713335929895354, ""x6"": 1.7640131403593884, ""x7"": -3.5497240012721494, ""x8"": 3.7091059561860225, ""x9"": -5.320894672543902, ""x10"": -2.9574873649139044, ""x11"": 2.8730989571162286, ""x12"": 2.313678897509036, ""x13"": -1.7325440161973988, ""x14"": 5.903374836028729, ""x15"": 0.264447142125835, ""x16"": 0.7542620559506127, ""x17"": 4.372947984072145, ""x18"": -1.6390391927828554, ""x19"": 2.9690057493737676, ""x20"": -7.21601394459493}",graphs/uf20-0799.png
2025-03-12 01:54:53,uf20-0800.cnf,90,91,False,"{""x1"": 4.51549260957413, ""x2"": 10.761729357073555, ""x3"": 7.660563112821878, ""x4"": -3.373652690024997, ""x5"": 3.8864461950606373, ""x6"": 0.045393096489958665, ""x7"": 0.8932953233826025, ""x8"": -1.3166582325915928, ""x9"": 8.610178459327932, ""x10"": -3.262365091379904, ""x11"": 3.8695414568880864, ""x12"": 0.7664751670105093, ""x13"": -3.4167635362491655, ""x14"": -1.1642789957907373, ""x15"": -3.461061412391852, ""x16"": 1.645575831218366, ""x17"": -0.9594715529353017, ""x18"": 4.050716866585161, ""x19"": 2.192609459656406, ""x20"": -1.0987510992211256}",graphs/uf20-0800.png
2025-03-12 01:55:01,uf20-0801.cnf,90,91,False,"{""x1"": 0.6415167174596367, ""x2"": 6.8703253695845845, ""x3"": 3.5986749358895267, ""x4"": -0.775783914306646, ""x5"": 2.928403923696382, ""x6"": 2.6385181987101465, ""x7"": 7.675257183247017, ""x8"": 4.54107706943251, ""x9"": 0.4975476786648693, ""x10"": -1.4256401814640882, ""x11"": 3.546325761428306, ""x12"": -1.2961992532640796, ""x13"": -3.0769500705912103, ""x14"": 6.330161173526894, ""x15"": 6.582151750573316, ""x16"": 0.07852083731421722, ""x17"": 2.3870123100601006, ""x18"": -0.5820912828192715, ""x19"": 6.766761910680765, ""x20"": 0.6889405640882478}",graphs/uf20-0801.png
2025-03-12 01:55:09,uf20-0802.cnf,91,91,True,"{""x1"": 1.0205886077708755, ""x2"": -5.840076838114702, ""x3"": -1.5586585592966826, ""x4"": 4.773906692435967, ""x5"": 4.836340218346994, ""x6"": -5.370327265777277, ""x7"": 6.144817652139907, ""x8"": -2.836671026627405, ""x9"": -3.3073244692190453, ""x10"": 4.338757204577246, ""x11"": -1.689596942852238, ""x12"": 3.871099706864765, ""x13"": 2.948373698769573, ""x14"": 2.0053472802470234, ""x15"": -1.5559218259434178, ""x16"": 2.2837570113107866, ""x17"": 0.21315113711312708, ""x18"": 6.5328345423838705, ""x19"": 4.209212505984052, ""x20"": 1.9463623673307309}",graphs/uf20-0802.png
2025-03-12 01:55:18,uf20-0803.cnf,91,91,True,"{""x1"": -2.51521296104841, ""x2"": 4.134620927027317, ""x3"": 0.7119262658267635, ""x4"": 3.9102925389709116, ""x5"": 1.9539798506665005, ""x6"": 5.256168995122588, ""x7"": 4.385046617119195, ""x8"": -6.29304382263943, ""x9"": 1.7441648929116063, ""x10"": 3.0462389548275626, ""x11"": -3.6503056388570174, ""x12"": 0.6016695213354726, ""x13"": 2.776403725413089, ""x14"": 6.620298698734295, ""x15"": 0.9444623280316878, ""x16"": -3.4972694500860104, ""x17"": 3.6699512270656003, ""x18"": -1.276416164081684, ""x19"": 6.418812583094315, ""x20"": -1.7766485138086028}",graphs/uf20-0803.png
2025-03-12 01:55:26,uf20-0804.cnf,91,91,True,"{""x1"": 2.8369904195518285, ""x2"": 3.963421192649475, ""x3"": 7.911739178442266, ""x4"": 2.5884687898291543, ""x5"": 0.3052064837773915, ""x6"": -3.4083387194439125, ""x7"": -1.4204397924228895, ""x8"": 2.576620890512607, ""x9"": -2.1252812364820732, ""x10"": -0.06819703909795304, ""x11"": -1.3013218596209135, ""x12"": 0.8542023216207529, ""x13"": -2.086422197514601, ""x14"": 4.288911990655232, ""x15"": -1.394613992089608, ""x16"": -2.8089761151186874, ""x17"": 1.0509244913900653, ""x18"": -3.6360154107715155, ""x19"": -1.2704862021092156, ""x20"": 6.649331130486855}",graphs/uf20-0804.png
2025-03-12 01:55:34,uf20-0805.cnf,90,91,False,"{""x1"": 0.8594148946088064, ""x2"": 0.290750069168689, ""x3"": 11.762562218813336, ""x4"": 2.567428258241233, ""x5"": -1.016883102666047, ""x6"": -0.5290993692574595, ""x7"": 11.251153156329636, ""x8"": -0.7792591096876473, ""x9"": -1.4438241607314195, ""x10"": 3.004281333292315, ""x11"": 6.795870117907661, ""x12"": 2.7191053718132285, ""x13"": -0.6930190720195188, ""x14"": -1.6667030772179339, ""x15"": 1.2205599598259433, ""x16"": -1.043853604057812, ""x17"": -5.760877500002391, ""x18"": 1.1678912025172266, ""x19"": 7.936822368783458, ""x20"": 2.403597137688039}",graphs/uf20-0805.png
2025-03-12 01:55:43,uf20-0806.cnf,90,91,False,"{""x1"": 2.117918036630403, ""x2"": -5.162108335044616, ""x3"": -1.8186772657225836, ""x4"": 6.0384576095737925, ""x5"": -0.3747546382259304, ""x6"": -3.766929522371891, ""x7"": 0.34778404722235623, ""x8"": 2.8563938934863855, ""x9"": -1.6132096305851547, ""x10"": 1.6564349379644077, ""x11"": 3.081046184142249, ""x12"": -4.0104056040165945, ""x13"": 4.335299608144586, ""x14"": -3.7197551927771753, ""x15"": -4.283558089503649, ""x16"": -4.469540347113985, ""x17"": 2.4984326005351596, ""x18"": -2.1413362912806053, ""x19"": 2.059385423161585, ""x20"": 1.9358167044993204}",graphs/uf20-0806.png
2025-03-12 01:55:51,uf20-0807.cnf,90,91,False,"{""x1"": 0.3882458155824827, ""x2"": -2.262520903895531, ""x3"": 0.022322939033843223, ""x4"": 4.372817953819638, ""x5"": 2.7699801373613893, ""x6"": -1.4331728323709978, ""x7"": 2.73076843366252, ""x8"": -2.7221402243199746, ""x9"": -7.013547836347749, ""x10"": -5.492970045519111, ""x11"": 6.496957140380367, ""x12"": 0.49474850878189136, ""x13"": -0.14996111853915672, ""x14"": 1.556559023544405, ""x15"": 2.8591206059863064, ""x16"": 3.241799755102132, ""x17"": 5.208952089301702, ""x18"": -0.9459631444837607, ""x19"": 2.60312634446912, ""x20"": 1.5418397514639788}",graphs/uf20-0807.png
